,Unnamed: 0,search_id,trip_index,received_date,received_ms,origin,destination,total_usd,pax_type,refundable,validating_carrier,departure_odate,departure_ms,outgoing_duration,outgoing_stops,return_odate,return_ms,returning_duration,returning_stops,major_carrier_id,total_stops,advance,length_of_stay,includes_saturday_night_stay,available_seats,lowest_cabin_class,highest_cabin_class
76,2346564,789ac0fb-7cc9-3253-a3fb-5f7b00fdd2a4,16,2016-02-27,1456582639770,BOS,CUN,359.39,ADT,,UA,2016-04-29,1461923400000,365,1,2016-05-03,1462300500000,443,1,UA,2,62,4,True,5,E,E
77,91437,4c7e5174-5c95-3c71-9c8b-475927b4714a,145,2016-08-01,1470028030255,BOS,CUN,383.52,ADT,,UA,2017-01-06,1483716600000,635,1,2017-01-13,1484310600000,475,1,UA,2,158,7,True,9,E,E
78,168478,f009cce5-10e8-3123-a0ab-a349454a1a90,98,2016-05-23,1464030487033,BOS,CUN,567.08,ADT,,AA,2016-08-25,1472116140000,406,1,2016-08-30,1472580360000,559,1,AA,2,94,5,True,2,E,E
79,630783,af3ed40e-01e2-3256-986d-73bff5c473d0,110,2016-08-30,1472615603584,BOS,CUN,2210.52,ADT,,B6,2016-09-01,1472735100000,471,1,2016-09-05,1473086700000,573,1,B6,2,2,4,True,3,E,E
80,2808165,a570de2d-a009-38cf-a225-aee9143b1690,34,2016-11-28,1480313163103,BOS,CUN,390.91,ADT,,UA,2017-02-17,1487375760000,944,1,2017-02-23,1487879700000,1098,1,UA,2,81,6,True,4,E,E
81,1770339,9f9141d4-fa7d-3878-8f23-b74485882ec8,54,2015-09-28,1443481237803,BOS,CUN,462.33,,,,2016-02-27,1456574400000,580,2,2016-03-05,1457179200000,624,2,DL,4,152,7,True,2,E,E
82,2305311,5844e1b3-d7ca-34fe-b1da-08a8afd515f8,4,2016-11-05,1478378510104,BOS,CUN,520.41,ADT,,AA,2016-11-08,1478608500000,426,1,2016-11-13,1479059700000,1099,1,AA,2,3,5,True,1,E,E
83,1884897,822153ce-882a-3ec5-9dfb-e582a7bdf546,177,2015-12-18,1450423607886,BOS,CUN,897.22,ADT,,DL,2015-12-27,1451224800000,576,2,2016-01-11,1452517200000,424,1,DL,3,9,15,True,3,E,E
84,2946479,ae3b3979-5625-3a83-9db1-585fe6e69bce,9,2016-07-26,1469560403320,BOS,CUN,337.47,ADT,,UA,2016-11-12,1478948400000,790,2,2016-11-19,1479604080000,770,1,UA,3,109,7,True,9,E,E
85,2595767,c2515c40-fc85-3bfe-b4f0-481336e2959b,164,2016-11-06,1478488320713,BOS,CUN,982.02,ADT,,AC,2016-11-09,1478711700000,1340,1,2016-11-15,1479229200000,1195,1,AC,2,3,6,True,1,E,E
86,1319601,a2ca03b3-736a-35b6-892f-ded6232ed279,53,2016-10-29,1477753201507,BOS,CUN,279.93,ADT,,AA,2017-01-23,1485172800000,462,1,2017-01-29,1485694500000,551,1,AA,2,86,6,True,1,E,E
87,2128736,5626d76b-1c1d-3d30-94f0-904698569a4d,38,2016-02-22,1456169193844,BOS,CUN,739.39,ADT,,DL,2016-03-14,1457972100000,507,1,2016-03-18,1458306000000,446,1,DL,2,21,4,False,1,E,E
88,2723469,670e8760-9dd8-3eb1-b6f8-c766b4f513ee,92,2016-08-23,1471990260498,BOS,CUN,975.02,ADT,,AA,2017-02-18,1487439120000,462,1,2017-02-25,1488041700000,385,1,AA,2,179,7,True,1,E,E
89,2859298,bad13216-5e6d-3755-ac85-d515168e44a7,12,2016-09-14,1473876548714,BOS,CUN,610.69,ADT,,UA,2016-12-23,1482491700000,770,1,2016-12-30,1483116000000,641,1,UA,2,100,7,True,8,E,E
90,991850,d08d95ca-befe-3774-a460-e8a80dd7ceed,86,2016-01-12,1452655501131,BOS,CUN,851.79,ADT,,UA,2016-04-16,1460839500000,395,1,2016-04-21,1461264900000,495,1,UA,2,95,5,True,9,E,E
91,2110127,c6467e72-c9fb-34bc-b355-19a5d6c0b482,8,2016-04-14,1460615881507,BOS,CUN,480.8,ADT,,UA,2016-06-16,1466072100000,440,1,2016-06-19,1466335800000,871,1,UA,2,63,3,True,9,E,E
92,123396,530fc887-126b-33bb-b19a-0c93204fcef3,89,2015-12-31,1451600088402,BOS,CUN,907.17,ADT,,UA,2016-04-15,1460723400000,476,1,2016-04-22,1461353880000,505,1,UA,2,106,7,True,9,E,E
93,2995547,559334f6-852b-37d6-a792-166255df0244,76,2015-10-16,1445032081667,BOS,CUN,1402.86,,,,2016-02-13,1455372000000,645,1,2016-02-20,1455988200000,415,1,DL,2,120,7,True,7,E,F
94,345135,4a360fde-2f49-3569-a510-14efa51c66f7,116,2016-01-11,1452566444079,BOS,CUN,565.29,ADT,,UA,2016-02-10,1455117420000,533,2,2016-02-16,1455646500000,671,2,UA,4,30,6,True,5,E,E
95,1943737,1d8ebd73-b3be-36b0-a421-c850a3bd95b9,89,2016-10-25,1477447020794,BOS,CUN,374.93,ADT,,UA,2016-12-15,1481812500000,1540,1,2016-12-22,1482436500000,1097,1,UA,2,51,7,True,9,E,E
96,1011731,9c025360-dea0-3293-81c0-7d6ce960f99e,158,2016-11-30,1480544391753,BOS,CUN,378.91,ADT,,UA,2017-03-11,1489233600000,845,1,2017-03-16,1489697460000,1015,1,UA,2,101,5,True,9,E,E
97,180396,4b80efbf-2c37-39f1-bea6-79ce7f62a4df,71,2016-03-14,1457992670572,BOS,CUN,338.69,ADT,,UA,2017-01-07,1483786800000,460,1,2017-01-14,1484430600000,400,1,UA,2,299,7,True,5,E,E
98,696626,76f952c8-c943-3676-a81a-0ec2a06d99ed,52,2015-10-17,1445090801693,BOS,CUN,547.36,,,,2016-03-23,1458731700000,565,1,2016-03-28,1459190400000,433,1,DL,2,158,5,True,1,E,E
99,2701150,9416b063-612f-39b8-84d7-85c97eaddb61,82,2016-10-31,1477919773197,BOS,CUN,683.83,ADT,,B6,2016-11-21,1479724800000,581,1,2016-11-26,1480187700000,246,0,B6,1,21,5,False,1,E,E
100,649657,85f9948a-f931-3d72-95fc-a65f6f20dcbe,197,2016-04-12,1460515599361,BOS,CUN,586.8,ADT,,NK,2016-05-05,1462439400000,425,2,2016-05-10,1462914720000,443,2,NK,4,23,5,True,4,E,E
101,1170838,e7c1f91e-d7ae-3ef3-a4d4-7be05cb304b5,24,2016-09-11,1473600881950,BOS,CUN,459.69,ADT,,UA,2016-12-21,1482316200000,565,1,2016-12-28,1482943200000,641,1,UA,2,101,7,True,9,E,E
102,785734,fc72d7c3-c3ee-3d9e-b7f7-07978af008e1,182,2016-02-25,1456426134928,BOS,CUN,674.39,ADT,,UA,2016-03-10,1457605980000,419,1,2016-03-14,1457980680000,434,1,UA,2,14,4,True,2,E,E
103,703011,c4503582-e181-3ed0-87d5-7021fc2c2a8d,83,2016-11-02,1478120142261,BOS,CUN,620.91,ADT,,UA,2016-11-07,1478554860000,1179,1,2016-11-13,1479061200000,670,1,UA,2,5,6,True,4,E,E
104,839054,f5d6552a-5fce-3a0d-b802-d59e23cafd57,198,2016-01-23,1453577294149,BOS,CUN,773.49,ADT,,AC,2016-02-16,1455637800000,490,1,2016-02-22,1456161300000,616,1,AC,2,24,6,True,2,E,E
105,2600968,8c66f2de-48e7-3cd6-aef8-25706c3573b3,180,2016-12-29,1483050491672,BOS,CUN,345.68,ADT,,UA,2017-03-07,1488892500000,490,1,2017-03-12,1489339200000,670,1,UA,2,68,5,True,9,E,E
106,1172978,40a95501-057e-3a39-b872-1376d8945174,48,2016-10-07,1475862316428,BOS,CUN,350.43,ADT,,AA,2017-04-14,1492171500000,395,1,2017-04-21,1492782600000,815,1,AA,2,189,7,True,9,E,E
107,1678572,2d101394-32e2-35b3-a64c-dfd5c6301f39,7,2015-10-08,1444299859608,BOS,CUN,385.24,,,,2015-11-25,1448488440000,1166,1,2015-12-02,1449061200000,886,1,UA,2,48,7,True,9,E,E
108,2507000,442d3674-a711-3644-a81d-a825f36b4dac,155,2016-01-31,1454267339415,BOS,CUN,512.29,ADT,,DL,2016-02-27,1456588800000,569,2,2016-03-04,1457096400000,573,1,DL,3,27,6,True,9,E,E
109,2494940,214af2ce-8ef5-3acb-9b95-6aff435a3313,124,2016-07-15,1468576524652,BOS,CUN,1085.37,ADT,,UA,2016-12-26,1482750000000,621,1,2017-01-02,1483375200000,444,1,UA,2,164,7,True,9,E,E
110,1744081,8a07f311-912e-3096-8b66-fb3351cc10fe,65,2016-03-01,1456812469274,BOS,CUN,653.69,ADT,,DL,2016-03-09,1457530200000,496,1,2016-03-21,1458590880000,509,1,DL,2,8,12,True,1,E,E
111,1180619,364a836b-bf47-39fd-bdd3-557a78dfd495,5,2016-09-27,1474997158424,BOS,CUN,377.69,ADT,,UA,2016-11-09,1478700300000,1535,1,2016-11-13,1479039600000,897,1,UA,2,43,4,True,9,E,E
